Date,Close
1/2/2014,20.18
1/3/2014,20.02
1/4/2014,20.01
1/5/2014,20.05
1/6/2014,19.96
1/7/2014,20.03
1/8/2014,20.04
1/9/2014,19.98
1/10/2014,20.12
1/11/2014,19.99
1/12/2014,20.3
1/13/2014,20.24
1/14/2014,20.85
1/15/2014,21.26
1/16/2014,21.27
1/17/2014,21.37
1/18/2014,21.35
1/19/2014,21.91
1/20/2014,21.64
1/21/2014,21.53
1/22/2014,21.37
1/23/2014,21.05
1/24/2014,21.02
1/25/2014,21.04
1/26/2014,21.16
1/27/2014,21.32
1/28/2014,21.37
1/29/2014,21.77
1/30/2014,22.04
1/31/2014,22.1
2/1/2014,22
2/2/2014,21.99
2/3/2014,21.93
2/4/2014,21.95
2/5/2014,22.31
2/6/2014,22.39
2/7/2014,22.47
2/8/2014,22.52
2/9/2014,22.74
2/10/2014,22.89
2/11/2014,22.95
2/12/2014,23.98
2/13/2014,24.66
2/14/2014,25.22
2/15/2014,25.47
2/16/2014,24.81
2/17/2014,23.98
2/18/2014,23.29
2/19/2014,23.87
2/20/2014,24.11
2/21/2014,25.06
2/22/2014,24.4
2/23/2014,23.58
2/24/2014,23.51
2/25/2014,23.06
2/26/2014,23.18
2/27/2014,24.01
2/28/2014,23.86
3/1/2014,23.42
3/2/2014,23.9
3/3/2014,24.25
3/4/2014,24.72
3/5/2014,24.8
3/6/2014,23.48
3/7/2014,23.02
3/8/2014,23.02
3/9/2014,23.97
3/10/2014,23.64
3/11/2014,22.88
3/12/2014,23.6
3/13/2014,23.59
3/14/2014,22.41
3/15/2014,22.51
3/16/2014,22.3
3/17/2014,23.39
3/18/2014,22.79
3/19/2014,22.87
3/20/2014,23.38
3/21/2014,22.09
3/22/2014,22.59
3/23/2014,22.48
3/24/2014,23.14
3/25/2014,24
3/26/2014,23.74
3/27/2014,22.89
3/28/2014,22.2
3/29/2014,22.02
3/30/2014,21.31
3/31/2014,21.14
4/1/2014,21.61
4/2/2014,21.66
4/3/2014,21.43
4/4/2014,21.46
4/5/2014,21.27
4/6/2014,21.96
4/7/2014,21.96
4/8/2014,22.08
4/9/2014,22.39
4/10/2014,22.57
4/11/2014,23.2
4/12/2014,23
4/13/2014,22.64
4/14/2014,22.67
4/15/2014,22.61
4/16/2014,22.56
4/17/2014,22.55
4/18/2014,22.95
4/19/2014,24
4/20/2014,24.18
4/21/2014,24.19
4/22/2014,24.12
4/23/2014,24.05
4/24/2014,24.22
4/25/2014,24.28
4/26/2014,23.91
4/27/2014,24.4
4/28/2014,24.65
4/29/2014,24.61
4/30/2014,24.17
5/1/2014,24.24
5/2/2014,24.44
5/3/2014,24.54
5/4/2014,24.61
5/5/2014,24.87
5/6/2014,24.47
5/7/2014,24.75
5/8/2014,24.63
5/9/2014,24.07
5/10/2014,23.59
5/11/2014,23.65
5/12/2014,23.34
5/13/2014,23.28
5/14/2014,23.06
5/15/2014,22.37
5/16/2014,22.29
5/17/2014,22.46
5/18/2014,22.53
5/19/2014,22.65
5/20/2014,22.84
5/21/2014,22.6
5/22/2014,22.6
5/23/2014,23.01
5/24/2014,23.08
5/25/2014,22.58
5/26/2014,22.51
5/27/2014,22.64
5/28/2014,23
5/29/2014,23.36
5/30/2014,23.16
5/31/2014,23.64
6/1/2014,23.55
6/2/2014,23.36
6/3/2014,23.44
6/4/2014,23.24
6/5/2014,23.09
6/6/2014,22.74
6/7/2014,23.1
6/8/2014,23.43
6/9/2014,23.56
6/10/2014,23.57
6/11/2014,23.35
6/12/2014,23.49
6/13/2014,23.57
6/14/2014,23.61
6/15/2014,23.67
6/16/2014,23.64
6/17/2014,23.67
6/18/2014,23.94
6/19/2014,24.01
6/20/2014,24.22
6/21/2014,24.45
6/22/2014,24.8
6/23/2014,24.59
6/24/2014,24.53
6/25/2014,24.61
6/26/2014,24.61
6/27/2014,24.6
6/28/2014,24.7
6/29/2014,24.79
6/30/2014,24.69
7/1/2014,24.6
7/2/2014,24.59
7/3/2014,23.77
7/4/2014,23.6
7/5/2014,23.25
7/6/2014,23.49
7/7/2014,23.43
7/8/2014,22.99
7/9/2014,22.91
7/10/2014,23.2
7/11/2014,23.41
7/12/2014,23.22
7/13/2014,22.47
7/14/2014,22.62
7/15/2014,22.3
7/16/2014,21.76
7/17/2014,21.37
7/18/2014,21.67
7/19/2014,22.04
7/20/2014,22.79
7/21/2014,22.2
7/22/2014,22.26
7/23/2014,23.35
7/24/2014,22.44
7/25/2014,23.02
7/26/2014,23.42
7/27/2014,23.59
7/28/2014,24.4
7/29/2014,25.16
7/30/2014,25.42
7/31/2014,25.4
8/1/2014,24.95
8/2/2014,24.52
8/3/2014,24.42
8/4/2014,25.09
8/5/2014,25.72
8/6/2014,25.6
8/7/2014,25.85
8/8/2014,25.82
8/9/2014,25.63
8/10/2014,25.52
8/11/2014,25.38
8/12/2014,25.71
8/13/2014,25.66
8/14/2014,25.64
8/15/2014,25.03
8/16/2014,25.95
8/17/2014,26.34
8/18/2014,26.42
8/19/2014,26.22
8/20/2014,26.43
8/21/2014,26.09
8/22/2014,25.45
8/23/2014,25.71
8/24/2014,25.25
8/25/2014,25.24
8/26/2014,25.03
8/27/2014,24.71
8/28/2014,24.86
8/29/2014,24.91
8/30/2014,24.93
8/31/2014,24.2
9/1/2014,25.4
9/2/2014,25.91
9/3/2014,26.17
9/4/2014,26.48
9/5/2014,26.82
9/6/2014,26.62
9/7/2014,26.39
9/8/2014,26.34
9/9/2014,26.1
9/10/2014,26.18
9/11/2014,25.63
9/12/2014,24.97
9/13/2014,25.17
9/14/2014,25.58
9/15/2014,25.83
9/16/2014,26.87
9/17/2014,27.49
9/18/2014,27.36
9/19/2014,27.44
9/20/2014,27.29
9/21/2014,27.06
9/22/2014,26.99
9/23/2014,27.14
9/24/2014,27.77
9/25/2014,28.3
9/26/2014,28.47
9/27/2014,28.48
9/28/2014,27.59
9/29/2014,28.25
9/30/2014,28.12
10/1/2014,28.28
10/2/2014,29.01
10/3/2014,29.31
10/4/2014,29.43
10/5/2014,29.42
10/6/2014,29.98
10/7/2014,30.18
10/8/2014,30.29
10/9/2014,30.39
10/10/2014,30.62
10/11/2014,30.9
10/12/2014,31.52
10/13/2014,32.48
10/14/2014,32.61
10/15/2014,32.69
10/16/2014,32.94
10/17/2014,32.98
10/18/2014,33.63
10/19/2014,34.38
10/20/2014,35.24
10/21/2014,34.86
10/22/2014,35.05
10/23/2014,34.87
