Date,Close
1/2/2014,76.27
1/3/2014,76.11
1/4/2014,75.82
1/5/2014,76.34
1/6/2014,75.22
1/7/2014,74.9
1/8/2014,75.39
1/9/2014,73.27
1/10/2014,74.45
1/11/2014,74.28
1/12/2014,74.21
1/13/2014,73.98
1/14/2014,74.2
1/15/2014,75.31
1/16/2014,74.79
1/17/2014,72.72
1/18/2014,72.25
1/19/2014,72.88
1/20/2014,71.33
1/21/2014,73.22
1/22/2014,72.61
1/23/2014,69.99
1/24/2014,71.05
1/25/2014,71.76
1/26/2014,75.56
1/27/2014,75.67
1/28/2014,77.06
1/29/2014,77.79
1/30/2014,77.91
1/31/2014,77.9
2/1/2014,79.23
2/2/2014,79.58
2/3/2014,78.87
2/4/2014,79.19
2/5/2014,80.13
2/6/2014,80.73
2/7/2014,80.21
2/8/2014,80.08
2/9/2014,80.48
2/10/2014,80.81
2/11/2014,79.46
2/12/2014,81.71
2/13/2014,82.68
2/14/2014,83.34
2/15/2014,82.21
2/16/2014,81.97
2/17/2014,81.05
2/18/2014,81.38
2/19/2014,79.93
2/20/2014,80.07
2/21/2014,81.39
2/22/2014,81.99
2/23/2014,80.52
2/24/2014,80.81
2/25/2014,80.35
2/26/2014,79.49
2/27/2014,79.55
2/28/2014,78.62
3/1/2014,78.48
3/2/2014,78.99
3/3/2014,80.07
3/4/2014,81.57
3/5/2014,81.67
3/6/2014,81.69
3/7/2014,80.43
3/8/2014,79.13
3/9/2014,79.57
3/10/2014,80.47
3/11/2014,77.51
3/12/2014,77.01
3/13/2014,77.62
3/14/2014,77.66
3/15/2014,78.95
3/16/2014,79.99
3/17/2014,79.11
3/18/2014,79.45
3/19/2014,79.52
3/20/2014,79.59
3/21/2014,78.23
3/22/2014,77.78
3/23/2014,78.64
3/24/2014,79.34
3/25/2014,79.56
3/26/2014,80.31
3/27/2014,81.22
3/28/2014,81.03
3/29/2014,80.29
3/30/2014,81.6
3/31/2014,81.95
4/1/2014,82.42
4/2/2014,82.08
4/3/2014,80.92
4/4/2014,80.15
4/5/2014,80.39
4/6/2014,81.05
4/7/2014,81.09
4/8/2014,82.19
4/9/2014,82.35
4/10/2014,83.32
4/11/2014,83.74
4/12/2014,83.6
4/13/2014,84.03
4/14/2014,84.01
4/15/2014,84.27
4/16/2014,83.88
4/17/2014,84.24
4/18/2014,84.78
4/19/2014,84.61
4/20/2014,85.48
4/21/2014,84.75
4/22/2014,84.31
4/23/2014,82.8
4/24/2014,82.8
4/25/2014,83.3
4/26/2014,83.16
4/27/2014,83.58
4/28/2014,83.77
4/29/2014,82.82
4/30/2014,82.76
5/1/2014,82.68
5/2/2014,83.9
5/3/2014,84.45
5/4/2014,85.3
5/5/2014,85.74
5/6/2014,86.47
5/7/2014,86.44
5/8/2014,86.84
5/9/2014,86.59
5/10/2014,85.86
5/11/2014,87.22
5/12/2014,86.86
5/13/2014,86.89
5/14/2014,86.76
5/15/2014,86.15
5/16/2014,85.35
5/17/2014,85.03
5/18/2014,85.81
5/19/2014,85.74
5/20/2014,86.21
5/21/2014,86.04
5/22/2014,86.8
5/23/2014,86.23
5/24/2014,87.15
5/25/2014,86.2
5/26/2014,87.21
5/27/2014,85.88
5/28/2014,85.38
5/29/2014,87.24
5/30/2014,86.75
5/31/2014,86.59
6/1/2014,85.51
6/2/2014,86.85
6/3/2014,87.5
6/4/2014,87.21
6/5/2014,87.6
6/6/2014,88.61
6/7/2014,89.28
6/8/2014,89.97
6/9/2014,90.09
6/10/2014,89.84
6/11/2014,90.38
6/12/2014,90.49
6/13/2014,90.38
6/14/2014,90.02
6/15/2014,90.37
6/16/2014,90.23
6/17/2014,89.88
6/18/2014,90.8
6/19/2014,90.94
6/20/2014,90.14
6/21/2014,90.94
6/22/2014,90.56
6/23/2014,89.6
6/24/2014,89.52
6/25/2014,89.97
6/26/2014,89.67
6/27/2014,90.08
6/28/2014,90.27
6/29/2014,90.33
6/30/2014,90.34
7/1/2014,90.49
7/2/2014,89.29
7/3/2014,88.31
7/4/2014,89.45
7/5/2014,88.07
7/6/2014,88.74
7/7/2014,88.83
7/8/2014,89.03
7/9/2014,87.49
7/10/2014,86.79
7/11/2014,88.45
7/12/2014,88.56
7/13/2014,87.11
7/14/2014,88.11
7/15/2014,85.71
7/16/2014,86.27
7/17/2014,83.91
7/18/2014,84.14
7/19/2014,82.08
7/20/2014,81.74
7/21/2014,83.83
7/22/2014,85.52
7/23/2014,87.54
7/24/2014,87.1
7/25/2014,87.99
7/26/2014,88.61
7/27/2014,88.45
7/28/2014,89.93
7/29/2014,89.53
7/30/2014,90.22
7/31/2014,91.38
8/1/2014,91.71
8/2/2014,90.35
8/3/2014,91
8/4/2014,92
8/5/2014,90
8/6/2014,89.78
8/7/2014,89.98
8/8/2014,89.9
8/9/2014,90.49
8/10/2014,90.8
8/11/2014,90.41
8/12/2014,90.28
8/13/2014,89.82
8/14/2014,88.9
8/15/2014,88.96
8/16/2014,90.58
8/17/2014,91.65
8/18/2014,91.92
8/19/2014,92.51
8/20/2014,92.7
8/21/2014,93.47
8/22/2014,93.11
8/23/2014,93.23
8/24/2014,93.76
8/25/2014,93.8
8/26/2014,92.94
8/27/2014,91.63
8/28/2014,91.75
8/29/2014,91.49
8/30/2014,90.9
8/31/2014,90.17
9/1/2014,91.38
9/2/2014,92.61
9/3/2014,92.89
9/4/2014,94.2
9/5/2014,94.69
9/6/2014,94.42
9/7/2014,95.03
9/8/2014,95.5
9/9/2014,94.7
9/10/2014,94.19
9/11/2014,93.75
9/12/2014,92.38
9/13/2014,91.89
9/14/2014,92.83
9/15/2014,93.79
9/16/2014,94.25
9/17/2014,94.46
9/18/2014,95.19
9/19/2014,94.23
9/20/2014,94.35
9/21/2014,95.18
9/22/2014,94.74
9/23/2014,94.17
9/24/2014,95.15
9/25/2014,94.72
9/26/2014,94.97
9/27/2014,93.97
9/28/2014,92.67
9/29/2014,93.22
9/30/2014,90.96
10/1/2014,91.93
10/2/2014,94.1
10/3/2014,101.28
10/4/2014,102.64
10/5/2014,102.02
10/6/2014,101.73
10/7/2014,101.92
10/8/2014,101.87
10/9/2014,103.58
10/10/2014,104.17
10/11/2014,104.12
10/12/2014,103.86
10/13/2014,103.89
10/14/2014,104.55
10/15/2014,104.99
10/16/2014,104.67
10/17/2014,105.57
10/18/2014,104.56
10/19/2014,104.08
10/20/2014,105.89
10/21/2014,106.35
10/22/2014,105.57
10/23/2014,105.03
10/24/2014,103.82
10/25/2014,105.26
10/26/2014,103.09
10/27/2014,102.89
10/28/2014,107.17
10/29/2014,106.44
10/30/2014,107.37
10/31/2014,106.96
11/1/2014,107.97
11/2/2014,107.37
11/3/2014,108.43
11/4/2014,108.22
11/5/2014,107.11
11/6/2014,105
11/7/2014,105.24
11/8/2014,105.48
11/9/2014,106.12
11/10/2014,104.89
11/11/2014,105.44
11/12/2014,106
11/13/2014,105.63
11/14/2014,105.43
11/15/2014,106.36
11/16/2014,106.77
11/17/2014,106.95
11/18/2014,106.51
11/19/2014,106.66
11/20/2014,106.98
11/21/2014,108.1
11/22/2014,106.69
11/23/2014,108.22
11/24/2014,107.68
11/25/2014,107.94
11/26/2014,109
11/27/2014,109.53
11/28/2014,110.16
11/29/2014,109.92
11/30/2014,109.81
12/1/2014,108.72
12/2/2014,110.52
12/3/2014,111.03
12/4/2014,110.81
12/5/2014,109.72
12/6/2014,109.26
12/7/2014,110.11
12/8/2014,108.6
12/9/2014,109.24
12/10/2014,109.19
12/11/2014,109.93
12/12/2014,110.3
12/13/2014,110.33
12/14/2014,110.56
12/15/2014,110.2
12/16/2014,110.39
12/17/2014,110.26
12/18/2014,109.44
12/19/2014,110.37
12/20/2014,110.53
12/21/2014,110.37
12/22/2014,110.96
12/23/2014,110.75
12/24/2014,111.17
12/25/2014,110.3
12/26/2014,110.3
12/27/2014,109.29
12/28/2014,108.52
12/29/2014,110
12/30/2014,110.62
12/31/2014,109.95
1/1/2015,110.18
1/2/2015,111.06
1/3/2015,111.49
1/4/2015,113.22
1/5/2015,112.62
1/6/2015,113.53
1/7/2015,114.41
1/8/2015,113.77
1/9/2015,114.45
1/10/2015,114.99
1/11/2015,113.05
1/12/2015,114.14
1/13/2015,115.13
1/14/2015,114.97
1/15/2015,115.7
1/16/2015,117.1
1/17/2015,115.19
1/18/2015,115.6
1/19/2015,116.44
1/20/2015,118.05
1/21/2015,117.85
1/22/2015,118.3
1/23/2015,119.07
1/24/2015,118.86
1/25/2015,119.58
1/26/2015,119.31
1/27/2015,119.33
1/28/2015,118.8
1/29/2015,118.91
1/30/2015,118.25
1/31/2015,118.46
2/1/2015,119.84
2/2/2015,120.03
2/3/2015,120
2/4/2015,121.12
2/5/2015,121.69
2/6/2015,110.53
2/7/2015,108.55
2/8/2015,109.35
2/9/2015,111
2/10/2015,108
2/11/2015,106.99
2/12/2015,107.52
2/13/2015,107.16
2/14/2015,109.05
2/15/2015,106.94
2/16/2015,106.45
2/17/2015,100.02
2/18/2015,98.84
2/19/2015,95.36
2/20/2015,95.89
2/21/2015,99.23
2/22/2015,102.17
2/23/2015,102.48
2/24/2015,101.88
2/25/2015,99.51
2/26/2015,101.89
2/27/2015,101.99
2/28/2015,100.97
3/1/2015,104.01
3/2/2015,101.91
3/3/2015,102.6
3/4/2015,104.48
3/5/2015,103.82
3/6/2015,103.43
3/7/2015,103.96
3/8/2015,104.2
3/9/2015,102.84
3/10/2015,103.41
3/11/2015,102.49
3/12/2015,101.57
3/13/2015,100.62
3/14/2015,100.3
3/15/2015,98.49
3/16/2015,99.42
3/17/2015,102.2
3/18/2015,102.67
3/19/2015,103
3/20/2015,103.85
3/21/2015,103.77
3/22/2015,103.39
3/23/2015,104.61
3/24/2015,105.56
3/25/2015,106.35
3/26/2015,106.59
3/27/2015,105.73
3/28/2015,107.89
3/29/2015,108.24
3/30/2015,109.47
3/31/2015,109.84
4/1/2015,110.09
4/2/2015,113.25
4/3/2015,113.09
4/4/2015,113.52
4/5/2015,113.77
4/6/2015,114.34
4/7/2015,115.04
4/8/2015,113.74
4/9/2015,115.04
4/10/2015,115.54
4/11/2015,113.25
4/12/2015,113
4/13/2015,115.67
4/14/2015,116.42
4/15/2015,117.42
4/16/2015,116.52
4/17/2015,116.21
4/18/2015,114.84
4/19/2015,115.92
4/20/2015,116.13
4/21/2015,118.14
4/22/2015,118.71
4/23/2015,120.07
4/24/2015,119.42
4/25/2015,117.95
4/26/2015,118.67
4/27/2015,115.13
4/28/2015,113.47
4/29/2015,115.39
4/30/2015,114
5/1/2015,111.89
5/2/2015,114.24
5/3/2015,113.83
5/4/2015,112.48
5/5/2015,111.47
5/6/2015,110.76
5/7/2015,108.04
5/8/2015,109.35
5/9/2015,112.16
5/10/2015,113.79
5/11/2015,112.01
5/12/2015,107.72
5/13/2015,106.59
5/14/2015,106.74
5/15/2015,105.56
5/16/2015,105.86
5/17/2015,107.25
5/18/2015,107.08
5/19/2015,106.34
5/20/2015,105.08
5/21/2015,102.98
5/22/2015,100.9
5/23/2015,100.36
5/24/2015,99.5
5/25/2015,99.25
5/26/2015,99.92
5/27/2015,101.46
5/28/2015,98.48
5/29/2015,99.11
5/30/2015,93.9
5/31/2015,93.97
6/1/2015,92.54
6/2/2015,94.02
6/3/2015,96.9
6/4/2015,95.29
6/5/2015,96.27
6/6/2015,94.32
6/7/2015,93.53
6/8/2015,95.82
6/9/2015,95.15
6/10/2015,93.12
6/11/2015,95.14
6/12/2015,95.43
6/13/2015,93.9
6/14/2015,92.12
6/15/2015,92.32
6/16/2015,88.85
6/17/2015,90.31
6/18/2015,91.15
6/19/2015,92.91
6/20/2015,95.5
6/21/2015,95.17
6/22/2015,95.01
6/23/2015,96.37
6/24/2015,95.38
6/25/2015,95.43
6/26/2015,95.65
6/27/2015,95.31
6/28/2015,95.52
6/29/2015,97.65
6/30/2015,97
7/1/2015,98.82
7/2/2015,98.48
7/3/2015,99.39
7/4/2015,97.82
7/5/2015,97.66
7/6/2015,97.04
7/7/2015,97.94
7/8/2015,98.81
7/9/2015,98.24
