Date,Close
1/2/2014,18.88
1/3/2014,19.42
1/4/2014,19.15
1/5/2014,19.53
1/6/2014,20.18
1/7/2014,20.76
1/8/2014,21.03
1/9/2014,20.72
1/10/2014,21.43
1/11/2014,21.16
1/12/2014,21.46
1/13/2014,21.22
1/14/2014,21.3
1/15/2014,21.77
1/16/2014,21.24
1/17/2014,20.84
1/18/2014,20.61
1/19/2014,21.31
1/20/2014,20.61
1/21/2014,21.22
1/22/2014,20.95
1/23/2014,20.43
1/24/2014,20.65
1/25/2014,20.61
1/26/2014,20.96
1/27/2014,21.43
1/28/2014,21.02
1/29/2014,21.32
1/30/2014,21.21
1/31/2014,21.2
2/1/2014,21.3
2/2/2014,21.03
2/3/2014,20.95
2/4/2014,21.7
2/5/2014,21.76
2/6/2014,22.16
2/7/2014,22.3
2/8/2014,22.42
2/9/2014,22.46
2/10/2014,22.44
2/11/2014,22.3
2/12/2014,22.83
2/13/2014,23.03
2/14/2014,23.12
2/15/2014,23.1
2/16/2014,23.6
2/17/2014,23.78
2/18/2014,23.9
2/19/2014,23.6
2/20/2014,23.92
2/21/2014,23.98
2/22/2014,23.9
2/23/2014,23.77
2/24/2014,23.88
2/25/2014,23.18
2/26/2014,23.37
2/27/2014,23.7
2/28/2014,23.44
3/1/2014,23.16
3/2/2014,23.16
3/3/2014,23.61
3/4/2014,23.94
3/5/2014,24.07
3/6/2014,24.01
3/7/2014,23.81
3/8/2014,23.43
3/9/2014,23.51
3/10/2014,24.15
3/11/2014,23.13
3/12/2014,22.75
3/13/2014,22.51
3/14/2014,22.9
3/15/2014,23.54
3/16/2014,23.49
3/17/2014,23.59
3/18/2014,23.93
3/19/2014,24.08
3/20/2014,24.27
3/21/2014,23.95
3/22/2014,23.84
3/23/2014,24.19
3/24/2014,24.17
3/25/2014,24.33
3/26/2014,24.18
3/27/2014,24.26
3/28/2014,24.2
3/29/2014,24.2
3/30/2014,24.46
3/31/2014,24.36
4/1/2014,24.94
4/2/2014,24.98
4/3/2014,24.91
4/4/2014,24.76
4/5/2014,24.61
4/6/2014,25.12
4/7/2014,24.95
4/8/2014,25.11
4/9/2014,25.27
4/10/2014,25.79
4/11/2014,25.87
4/12/2014,26.43
4/13/2014,26.44
4/14/2014,26.45
4/15/2014,26.71
4/16/2014,27.2
4/17/2014,27.36
4/18/2014,27.28
4/19/2014,27.59
4/20/2014,27.45
4/21/2014,27.29
4/22/2014,26.94
4/23/2014,25.72
4/24/2014,26.3
4/25/2014,26.1
4/26/2014,26.63
4/27/2014,26.67
4/28/2014,27.08
4/29/2014,27.29
4/30/2014,26.92
5/1/2014,26.64
5/2/2014,26.97
5/3/2014,27.06
5/4/2014,27.14
5/5/2014,26.86
5/6/2014,27.73
5/7/2014,27.47
5/8/2014,27.71
5/9/2014,27.17
5/10/2014,26.7
5/11/2014,27.21
5/12/2014,27.27
5/13/2014,27.44
5/14/2014,27.6
5/15/2014,27.9
5/16/2014,28.03
5/17/2014,27.51
5/18/2014,27.81
5/19/2014,27.66
5/20/2014,28.05
5/21/2014,28.87
5/22/2014,28.68
5/23/2014,29.24
5/24/2014,29.21
5/25/2014,28.71
5/26/2014,28.84
5/27/2014,28.28
5/28/2014,28.43
5/29/2014,28.43
5/30/2014,28.13
5/31/2014,28.12
6/1/2014,28.06
6/2/2014,28.28
6/3/2014,28.64
6/4/2014,28.7
6/5/2014,29.26
6/6/2014,29.75
6/7/2014,29.76
6/8/2014,30.82
6/9/2014,30.75
6/10/2014,31.57
6/11/2014,31.24
6/12/2014,31.87
6/13/2014,32.14
6/14/2014,31.92
6/15/2014,32.23
6/16/2014,32.05
6/17/2014,32.01
6/18/2014,32.91
6/19/2014,32.58
6/20/2014,32.62
6/21/2014,32.83
6/22/2014,32.86
6/23/2014,32.91
6/24/2014,33.62
6/25/2014,33.64
6/26/2014,33.87
6/27/2014,33.86
6/28/2014,34.53
6/29/2014,34.43
6/30/2014,35.23
7/1/2014,34.56
7/2/2014,34.15
7/3/2014,33.26
7/4/2014,34.33
7/5/2014,33.64
7/6/2014,33.91
7/7/2014,33.67
7/8/2014,33.77
7/9/2014,32.55
7/10/2014,32.46
7/11/2014,33.43
7/12/2014,33.04
7/13/2014,32.23
7/14/2014,32.11
7/15/2014,31.32
7/16/2014,30.57
7/17/2014,28.88
7/18/2014,30
7/19/2014,30.02
7/20/2014,30.94
7/21/2014,31.05
7/22/2014,32.84
7/23/2014,34.59
7/24/2014,34.2
7/25/2014,33.25
7/26/2014,33.87
7/27/2014,34.05
7/28/2014,34.53
7/29/2014,34.13
7/30/2014,34.13
7/31/2014,34.48
8/1/2014,35.31
8/2/2014,36.43
8/3/2014,36.75
8/4/2014,37.94
8/5/2014,38.24
8/6/2014,39.12
8/7/2014,39.37
8/8/2014,39.37
8/9/2014,39.46
8/10/2014,38.95
8/11/2014,39.07
8/12/2014,39.67
8/13/2014,39.27
8/14/2014,38.87
8/15/2014,38.02
8/16/2014,38.51
8/17/2014,38.51
8/18/2014,39.28
8/19/2014,41.82
8/20/2014,40.5
8/21/2014,40.46
8/22/2014,41.05
8/23/2014,41.39
8/24/2014,41.12
8/25/2014,42.13
8/26/2014,40.73
8/27/2014,41.48
8/28/2014,41.92
8/29/2014,41.41
8/30/2014,41.58
8/31/2014,39.58
9/1/2014,40.12
9/2/2014,40.62
9/3/2014,40.26
9/4/2014,41.26
9/5/2014,40.98
9/6/2014,41.66
9/7/2014,41.91
9/8/2014,41.92
9/9/2014,42.17
9/10/2014,42.32
9/11/2014,42.69
9/12/2014,41.64
9/13/2014,40.46
9/14/2014,40.8
9/15/2014,41.88
9/16/2014,40.79
9/17/2014,40.25
9/18/2014,40.48
9/19/2014,39.44
9/20/2014,38.9
9/21/2014,39.48
9/22/2014,40.79
9/23/2014,41.83
9/24/2014,45.35
9/25/2014,45.78
9/26/2014,46.4
9/27/2014,45.88
9/28/2014,45.8
9/29/2014,46.99
9/30/2014,45.18
10/1/2014,44.53
10/2/2014,43.25
10/3/2014,44.64
10/4/2014,44.47
10/5/2014,44.14
10/6/2014,43.26
10/7/2014,43.78
10/8/2014,43.5
10/9/2014,43.5
10/10/2014,43.3
10/11/2014,42.59
10/12/2014,43.55
10/13/2014,43.76
10/14/2014,44.78
10/15/2014,44.69
10/16/2014,45.35
10/17/2014,44.12
10/18/2014,44.08
10/19/2014,43.24
10/20/2014,44.22
10/21/2014,43.96
10/22/2014,44.01
10/23/2014,44.1
10/24/2014,43.3
10/25/2014,43.4
10/26/2014,42.94
10/27/2014,43.84
10/28/2014,44.97
10/29/2014,44.51
10/30/2014,45.5
10/31/2014,46.21
11/1/2014,45.74
11/2/2014,46.35
11/3/2014,46.36
11/4/2014,45.44
11/5/2014,44.92
11/6/2014,43.72
11/7/2014,43.18
11/8/2014,44.24
11/9/2014,44.58
11/10/2014,44.3
11/11/2014,43.45
11/12/2014,42.86
